"","idMvt","conf","xsaisi","ysaisi","epsg","num_insee","commune","lieu_dit","typeMvt","libelleType","fiabiliteType","libelleFiabilite","PrecDate","libelleDate","prec_xy","libellePrec","longitudeDoublePrec","latitudeDoublePrec","NUM_POSTE","NOM_USUEL","LAT","LON","ALTI","AAAAMM","RR","QRR","NBRR","RR_ME","RRAB","QRRAB","RRABDAT","NBJRR1","NBJRR5","NBJRR10","NBJRR30","NBJRR50","NBJRR100","PMERM","QPMERM","NBPMERM","PMERMINAB","QPMERMINAB","PMERMINABDAT","TX","QTX","NBTX","TX_ME","TXAB","QTXAB","TXDAT","TXMIN","QTXMIN","TXMINDAT","NBJTX0","NBJTX25","NBJTX30","NBJTX35","NBJTXI20","NBJTXI27","NBJTXS32","TN","QTN","NBTN","TN_ME","TNAB","QTNAB","TNDAT","TNMAX","QTNMAX","TNMAXDAT","NBJTN5","NBJTN10","NBJTNI10","NBJTNI15","NBJTNI20","NBJTNS20","NBJTNS25","NBJGELEE","TAMPLIM","QTAMPLIM","TAMPLIAB","QTAMPLIAB","TAMPLIABDAT","NBTAMPLI","TM","QTM","NBTM","TMM","QTMM","NBTMM","NBJTMS24","TMMIN","QTMMIN","TMMINDAT","TMMAX","QTMMAX","TMMAXDAT","UNAB","QUNAB","UNABDAT","NBUN","UXAB","QUXAB","UXABDAT","NBUX","UMM","QUMM","NBUM","TSVM","QTSVM","NBTSVM","ETP","QETP","FXIAB","QFXIAB","DXIAB","QDXIAB","FXIDAT","NBJFF10","NBJFF16","NBJFF28","NBFXI","FXI3SAB","QFXI3SAB","DXI3SAB","QDXI3SAB","FXI3SDAT","NBJFXI3S10","NBJFXI3S16","NBJFXI3S28","NBFXI3S","FXYAB","QFXYAB","DXYAB","QDXYAB","FXYABDAT","NBJFXY8","NBJFXY10","NBJFXY15","NBFXY","FFM","QFFM","NBFFM","INST","QINST","NBINST","NBSIGMA0","NBSIGMA20","NBSIGMA80","GLOT","QGLOT","NBGLOT","DIFT","QDIFT","NBDIFT","DIRT","QDIRT","NBDIRT","HNEIGEFTOT","QHNEIGEFTOT","HNEIGEFAB","QHNEIGEFAB","HNEIGEFDAT","NBHNEIGEF","NBJNEIG","NBJHNEIGEF1","NBJHNEIGEF5","NBJHNEIGEF10","NBJSOLNG","NEIGETOTM","QNEIGETOTM","NEIGETOTAB","QNEIGETOTAB","NEIGETOTABDAT","NBJNEIGETOT1","NBJNEIGETOT10","NBJNEIGETOT30","NBJGREL","NBJORAG","NBJBROU"
"2",50001986,"",936197.021484375,2029516.96777344,27572,73119,"FRENEY","LA PRA",2,"Chute de blocs / Eboulement",2,"Moyen",4,"Année",5,"Commune",6.61510979880964,45.1838593351245,1034001,"BELLEY MAN",45.755,5.686667,277,195201,125.7,1,31,NA,30,1,9,10,8,4,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",50002001,"",904200.012207031,2072199.95117188,27572,73129,"GRESY-SUR-ISERE","CAPTAGE DES FONTANIERES",2,"Chute de blocs / Eboulement",2,"Moyen",1,"Jour",5,"Commune",6.23552222802131,45.5822835498607,1010001,"ANGLEFORT",45.9,5.766667,280,198503,163.2,1,31,NA,49.6,1,4,12,10,6,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"5",50001891,"",902964,2064091,27572,73072,"CHAMP-LAURENT","LA MASURE ET BOIS-LEVAZ",2,"Chute de blocs / Eboulement",2,"Moyen",2,"Mois",5,"Commune",6.21458296763201,45.509970968994,1034001,"BELLEY MAN",45.755,5.686667,277,196011,213.4,1,30,NA,41,1,12,18,14,6,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",50002000,"",905000,2075100.09765625,27572,73129,"GRESY-SUR-ISERE","LE MURGERAY",2,"Chute de blocs / Eboulement",2,"Moyen",1,"Jour",5,"Commune",6.24760678321249,45.6079837346498,1010001,"ANGLEFORT",45.9,5.766667,280,198502,118.3,1,28,NA,26.6,1,9,9,8,6,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"7",50003001,"",943041.015625,2032413.94042969,27572,73322,"VILLARODIN-BOURGET","CHATALAMIA- ROC DU BOURGET",2,"Chute de blocs / Eboulement",2,"Moyen",2,"Mois",5,"Commune",6.7040778664587,45.2064961431184,1034001,"BELLEY MAN",45.755,5.686667,277,198405,110.3,1,31,NA,24.1,1,26,16,10,3,0,0,0,NA,NA,0,NA,NA,NA,17.2,1,31,NA,21.8,1,6,10.2,1,11,0,0,0,0,26,31,0,7.9,1,31,NA,2.6,1,1,11.4,1,19,0,0,22,31,31,0,0,0,9.3,1,17.4,1,1,31,12.5,1,31,NA,NA,0,NA,7.6,1,11,15.9,1,6,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1
"8",50002726,"",927157,2035583,27572,73261,"SAINT-MICHEL-DE-MAURIENNE","ROC DE STE-ANNE",2,"Chute de blocs / Eboulement",2,"Moyen",2,"Mois",5,"Commune",6.50437098760312,45.2427147602254,1034001,"BELLEY MAN",45.755,5.686667,277,195503,36.4,1,31,NA,8.9,1,25,7,4,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",50002338,"",931176,2031147,27572,73194,"ORELLE","FORET COMMUN.,1è SERIE,PARC.A",2,"Chute de blocs / Eboulement",2,"Moyen",1,"Jour",5,"Commune",6.55244562199372,45.2009398313024,1034001,"BELLEY MAN",45.755,5.686667,277,196011,213.4,1,30,NA,41,1,12,18,14,6,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",50002289,"",928136,2073350,27572,73187,"LA LECHERE","",2,"Chute de blocs / Eboulement",2,"Moyen",1,"Jour",5,"Commune",6.54253743495105,45.5815197397019,97407505,"LE PORT-POINTE DES GALETS",-20.929167,55.294167,6,193103,55,9,31,NA,19,9,8,4,4,3,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",50002221,"",953559,2081048,27572,73176,"MONTVALEZAN","ROUTE DU COL DU PT ST-BERNARD",2,"Chute de blocs / Eboulement",2,"Moyen",2,"Mois",5,"Commune",6.87339701556937,45.6379556410963,1143001,"DIVONNE",46.376667,6.156667,488,198711,100.6,1,30,NA,14.4,1,13,11,9,4,0,0,0,NA,NA,0,NA,NA,NA,8.6,1,30,NA,14,1,2,3,1,29,0,0,0,0,30,30,0,3.4,1,30,NA,-1,1,15,9,1,1,0,0,30,30,30,0,0,3,5.2,1,10,1,8,30,6,1,30,NA,NA,0,NA,1.8,1,29,10.5,1,2,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2
"14",22300576,"C",931176.025390625,2031146.97265625,27562,73194,"ORELLE","ORELLE",2,"Chute de blocs / Eboulement",1,"Fort",2,"Mois",5,"Commune",6.55244562199372,45.2009398313024,1034001,"BELLEY MAN",45.755,5.686667,277,199207,88,1,31,NA,17.2,1,12,13,5,5,0,0,0,NA,NA,0,NA,NA,NA,28.5,1,31,NA,34.2,1,30,20.8,1,1,0,24,14,0,0,13,8,15.9,1,31,NA,11,1,13,20.2,1,21,0,0,0,13,30,1,0,0,12.6,1,18.4,1,15,31,22.2,1,31,NA,NA,0,NA,17.8,1,1,26.5,1,31,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
"15",50001999,"",880074,2087332,27572,73128,"GRESY-SUR-AIX","""ANTOGER"" ET ""LA RIBLETTE""",2,"Chute de blocs / Eboulement",2,"Moyen",2,"Mois",5,"Commune",5.93561844849913,45.728612114494,1010001,"ANGLEFORT",45.9,5.766667,280,198305,286.3,1,31,NA,69.2,1,15,20,12,10,2,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0
"16",50002393,"",944000,2052500,27572,73206,"PRALOGNAN-LA-VANOISE","MONT BOCHOR",2,"Chute de blocs / Eboulement",2,"Moyen",1,"Jour",5,"Commune",6.73054180811557,45.386425554362,1010001,"ANGLEFORT",45.9,5.766667,280,198405,114.4,1,31,NA,14.5,1,2,18,11,3,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
"18",10000340,"",923408,2067463,27572,73187,"LA LECHERE","Notre-Dame-deBriançon.",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",6.47808,45.53089,97407505,"LE PORT-POINTE DES GALETS",-20.929167,55.294167,6,190311,0.3,9,30,NA,0.3,9,29,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",10000338,"",923408,2067463,27572,73187,"LA LECHERE","Notre-Dame-deBriançon.",2,"Chute de blocs / Eboulement",1,"Fort",1,"Jour",3,"Hectomètre",6.47808,45.53089,97407505,"LE PORT-POINTE DES GALETS",-20.929167,55.294167,6,190312,22,9,31,32.8,7,9,16,5,3,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",50002381,"",915269,2045987,27572,73203,"PONTAMAFREY-MONTPASCAL","FALAISE DU ""GRAND-COIN""",2,"Chute de blocs / Eboulement",2,"Moyen",1,"Jour",5,"Commune",6.35997030331576,45.3417495806637,1034001,"BELLEY MAN",45.755,5.686667,277,198803,155.9,1,31,NA,24.4,1,17,18,13,5,0,0,0,NA,NA,0,NA,NA,NA,11.6,1,31,NA,21.2,1,21,4.8,1,1,0,0,0,0,29,31,0,4.2,1,31,NA,-3,1,3,9.4,1,21,0,0,31,31,31,0,0,6,7.5,1,14.8,1,15,31,7.9,1,31,NA,NA,0,NA,1.9,1,1,15.3,1,21,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"22",50002002,"",905000,2075100.09765625,27572,73129,"GRESY-SUR-ISERE","LE MURGERAY",2,"Chute de blocs / Eboulement",2,"Moyen",2,"Mois",5,"Commune",6.24760678321249,45.6079837346498,1010001,"ANGLEFORT",45.9,5.766667,280,198409,161.2,1,30,NA,24.2,1,23,14,12,6,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0
"25",50002385,"",915269,2045987,27572,73203,"PONTAMAFREY-MONTPASCAL","FALAISE DU ROCHERAY ,COTE 1300",2,"Chute de blocs / Eboulement",2,"Moyen",1,"Jour",5,"Commune",6.35997030331576,45.3417495806637,1034001,"BELLEY MAN",45.755,5.686667,277,195105,130.5,1,31,NA,57,1,25,14,8,2,1,1,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",50002027,"",916299.987792969,2039300.04882812,27572,73135,"HERMILLON","L'ECHAILLON",2,"Chute de blocs / Eboulement",2,"Moyen",1,"Jour",5,"Commune",6.36873133690363,45.2811980821281,1034001,"BELLEY MAN",45.755,5.686667,277,198910,41.9,1,31,NA,18.7,1,28,4,4,2,0,0,0,NA,NA,0,NA,NA,NA,19.6,1,31,NA,24,1,26,13,1,28,0,0,0,0,16,31,0,7.1,1,31,NA,2,1,11,12,1,29,0,0,28,31,31,0,0,0,12.5,1,17.5,1,26,31,13.4,1,31,NA,NA,0,NA,8.9,1,11,16.4,1,22,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3
"28",50002371,"",942588,2056955,27572,73201,"PLANAY","FORET COMMUNAL.,3èSERIE,PAR.14",2,"Chute de blocs / Eboulement",2,"Moyen",1,"Jour",5,"Commune",6.71571006972814,45.4271492432107,97407505,"LE PORT-POINTE DES GALETS",-20.929167,55.294167,6,191404,7.2,9,30,NA,6,9,22,2,1,0,0,0,0,NA,NA,0,NA,NA,NA,28.4,9,30,NA,29.8,9,8,27,9,23,0,30,0,0,0,4,0,24.5,9,30,NA,22.8,9,6,26,9,9,0,0,0,0,0,30,11,0,3.9,9,5.4,9,14,30,26.5,9,30,NA,NA,0,NA,25.4,9,6,27.7,9,9,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",50001998,"",880074,2087332,27572,73128,"GRESY-SUR-AIX","CD 911 ""BOIS DE LA TOUR""",2,"Chute de blocs / Eboulement",2,"Moyen",2,"Mois",5,"Commune",5.93561844849913,45.728612114494,1010001,"ANGLEFORT",45.9,5.766667,280,198402,186.2,1,29,NA,71.8,1,6,10,7,4,2,2,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"30",50002493,"",902172,2036390,27572,73230,"SAINT-COLOMBAN-DES-VILLARDS","ROCHER SURPLOMBANT LES""ROCHES""",2,"Chute de blocs / Eboulement",2,"Moyen",4,"Année",5,"Commune",6.18710733528695,45.2614226311187,1034001,"BELLEY MAN",45.755,5.686667,277,196501,129.7,1,31,NA,27,1,16,11,8,7,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
"31",50002504,"",953700.012207031,2077500,27572,73232,"SAINTE-FOY-TARENTAISE","VICAIRE RN 202",2,"Chute de blocs / Eboulement",2,"Moyen",2,"Mois",5,"Commune",6.87257813678286,45.6060160127186,1143001,"DIVONNE",46.376667,6.156667,488,198201,81.7,1,31,NA,32.8,1,5,13,5,2,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7
